Абзац,Эталонная метка
1,раскрытие темы
2,юмор / ирония / сарказм
3,юмор / ирония / сарказм
4,лирическое отступление
5,юмор / ирония / сарказм
6,юмор / ирония / сарказм
7,пояснение на примере
8,ключевой тезис
9,юмор / ирония / сарказм
10,лирическое отступление
11,связующий переход
12,пояснение на примере
13,пояснение на примере
14,пояснение на примере
15,юмор / ирония / сарказм
16,пояснение на примере
17,юмор / ирония / сарказм
18,юмор / ирония / сарказм
19,раскрытие темы
20,раскрытие темы
21,юмор / ирония / сарказм
22,пояснение на примере
23,юмор / ирония / сарказм
24,метафора / аналогия
25,метафора / аналогия
26,юмор / ирония / сарказм
27,раскрытие темы
28,юмор / ирония / сарказм
29,лирическое отступление
30,метафора / аналогия
31,пояснение на примере
32,юмор / ирония / сарказм
33,юмор / ирония / сарказм
34,юмор / ирония / сарказм
35,связующий переход
36,юмор / ирония / сарказм
37,ключевой тезис
